YEAR,MONTH_NUM,MONTH_MON,FLT_DATE,ENTITY_NAME,ENTITY_TYPE,CPLX_FLIGHT_HRS,CPLX_INTER,VERTICAL_INTER_HRS,HORIZ_INTER_HRS,SPEED_INTER_HRS,BADA_VERSION
2014,1,JAN,02-01-2014,DHMI,ANSP (AUA),2246.54,341.33,44.68,102.75,64.64,3.6
2014,1,JAN,02-01-2014,DSNA,ANSP (AUA),4012.80,544.81,79.48,237.08,76.89,3.6
2014,1,JAN,02-01-2014,EANS,ANSP (AUA),150.11,8.22,1.04,2.57,1.42,3.6
2014,1,JAN,02-01-2014,ENAIRE,ANSP (AUA),2535.16,249.41,32.26,96.12,36.78,3.6
2014,1,JAN,02-01-2014,ENAV,ANSP (AUA),1877.78,130.79,33.05,73.27,20.44,3.6
2014,1,JAN,02-01-2014,Finavia,ANSP (AUA),179.60,4.34,0.83,1.26,1.30,3.6
2014,1,JAN,02-01-2014,HCAA,ANSP (AUA),750.20,39.41,2.72,13.99,2.84,3.6
2014,1,JAN,02-01-2014,HungaroControl,ANSP (AUA),413.45,46.84,2.58,19.87,3.92,3.6
2014,1,JAN,02-01-2014,IAA,ANSP (AUA),454.93,26.01,1.86,6.24,4.85,3.6
2014,1,JAN,02-01-2014,LFV,ANSP (AUA),789.76,32.15,5.59,16.44,5.62,3.6
2014,1,JAN,02-01-2014,LGS,ANSP (AUA),171.10,9.76,0.98,4.60,0.94,3.6
2014,1,JAN,02-01-2014,LPS,ANSP (AUA),262.22,44.97,3.31,22.61,4.30,3.6
2014,1,JAN,02-01-2014,LVNL,ANSP (AUA),167.53,26.90,4.30,10.67,10.14,3.6
2014,1,JAN,02-01-2014,M-NAV,ANSP (AUA),28.91,0.87,0.15,0.41,0.06,3.6
2014,1,JAN,02-01-2014,MATS,ANSP (AUA),153.61,4.88,0.23,2.13,1.30,3.6
2014,1,JAN,02-01-2014,MUAC,ANSP (AUA),1304.68,193.96,45.10,107.35,29.08,3.6
2014,1,JAN,02-01-2014,MoldATSA,ANSP (AUA),29.59,0.66,0.02,0.34,0.04,3.6
2014,1,JAN,02-01-2014,NATS (Continental),ANSP (AUA),2253.21,329.30,124.34,145.10,99.39,3.6
2014,1,JAN,02-01-2014,NAV Portugal (Continental),ANSP (AUA),799.03,47.15,6.03,17.21,4.03,3.6
2014,1,JAN,02-01-2014,NAVIAIR,ANSP (AUA),365.57,20.21,3.73,11.52,3.80,3.6
2014,1,JAN,02-01-2014,Oro Navigacija,ANSP (AUA),104.92,3.85,0.32,1.99,0.44,3.6
2014,1,JAN,02-01-2014,PANSA,ANSP (AUA),853.81,53.93,7.53,26.95,11.11,3.6
2014,1,JAN,02-01-2014,ROMATSA,ANSP (AUA),598.92,52.52,2.10,17.32,3.10,3.6
2014,1,JAN,02-01-2014,SMATSA,ANSP (AUA),330.11,26.00,1.19,12.67,1.60,3.6
2014,1,JAN,02-01-2014,Sakaeronavigatsia,ANSP (AUA),125.42,7.91,0.34,2.48,1.05,3.6
2014,1,JAN,02-01-2014,Skyguide,ANSP (AUA),575.89,80.52,24.99,48.98,22.44,3.6
2014,1,JAN,02-01-2014,Slovenia Control,ANSP (AUA),79.88,9.79,1.19,5.76,1.14,3.6
2014,1,JAN,02-01-2014,UkSATSE,ANSP (AUA),989.72,62.30,2.86,28.35,8.77,3.6
2014,1,JAN,03-01-2014,ANS CR,ANSP (AUA),500.03,74.09,8.82,36.13,13.79,3.6
2014,1,JAN,03-01-2014,ARMATS,ANSP (AUA),38.86,0.86,0.04,0.36,0.02,3.6
2014,1,JAN,03-01-2014,Albcontrol,ANSP (AUA),66.92,4.64,0.17,1.52,0.35,3.6
2014,1,JAN,03-01-2014,Austro Control,ANSP (AUA),491.42,55.85,11.28,30.40,14.82,3.6
2014,1,JAN,03-01-2014,Avinor (Continental),ANSP (AUA),607.08,19.47,5.15,9.29,5.19,3.6
2014,1,JAN,03-01-2014,BULATSA,ANSP (AUA),354.65,31.37,2.93,8.61,2.80,3.6
2014,1,JAN,03-01-2014,Belgocontrol,ANSP (AUA),140.06,12.70,5.05,7.19,5.27,3.6
2014,1,JAN,03-01-2014,Croatia Control,ANSP (AUA),340.08,29.51,1.78,16.11,4.44,3.6
2014,1,JAN,03-01-2014,DCAC Cyprus,ANSP (AUA),287.73,19.72,2.90,8.09,2.17,3.6
2014,1,JAN,03-01-2014,DFS,ANSP (AUA),2352.90,333.73,87.53,195.55,83.76,3.6
2014,1,JAN,03-01-2014,DHMI,ANSP (AUA),2214.35,300.85,45.81,99.48,46.51,3.6
2014,1,JAN,03-01-2014,DSNA,ANSP (AUA),4256.23,618.56,88.17,260.88,96.40,3.6
2014,1,JAN,03-01-2014,EANS,ANSP (AUA),161.76,9.77,1.35,2.98,1.96,3.6
2014,1,JAN,03-01-2014,ENAIRE,ANSP (AUA),2781.76,300.50,39.73,112.38,40.89,3.6
2014,1,JAN,03-01-2014,ENAV,ANSP (AUA),1879.23,134.29,34.52,75.57,23.20,3.6
2014,1,JAN,03-01-2014,Finavia,ANSP (AUA),202.10,4.78,1.03,1.54,1.36,3.6
2014,1,JAN,03-01-2014,HCAA,ANSP (AUA),689.08,28.05,2.00,10.19,2.97,3.6
2014,1,JAN,03-01-2014,HungaroControl,ANSP (AUA),420.02,46.09,3.33,20.32,6.65,3.6
2014,1,JAN,03-01-2014,IAA,ANSP (AUA),516.90,34.34,4.69,11.98,7.86,3.6
2014,1,JAN,03-01-2014,LFV,ANSP (AUA),806.38,37.07,6.21,19.07,6.51,3.6
2014,1,JAN,03-01-2014,LGS,ANSP (AUA),191.04,11.86,1.04,5.59,1.51,3.6
2014,1,JAN,03-01-2014,LPS,ANSP (AUA),230.41,34.13,2.48,15.95,5.93,3.6
2014,1,JAN,03-01-2014,LVNL,ANSP (AUA),172.13,26.85,4.43,11.37,10.07,3.6
2014,1,JAN,03-01-2014,M-NAV,ANSP (AUA),26.20,0.58,0.15,0.23,0.07,3.6
2014,1,JAN,03-01-2014,MATS,ANSP (AUA),163.30,2.67,0.38,1.24,0.83,3.6
2014,1,JAN,03-01-2014,MUAC,ANSP (AUA),1412.44,220.08,56.62,123.81,48.30,3.6
2014,1,JAN,03-01-2014,MoldATSA,ANSP (AUA),35.08,1.16,0.03,0.43,0.09,3.6
2014,1,JAN,03-01-2014,NATS (Continental),ANSP (AUA),2474.64,433.27,175.03,204.17,132.69,3.6
2014,1,JAN,03-01-2014,NAV Portugal (Continental),ANSP (AUA),774.59,43.45,5.56,15.41,4.77,3.6
2014,1,JAN,03-01-2014,NAVIAIR,ANSP (AUA),395.67,23.26,4.31,12.75,5.00,3.6
2014,1,JAN,03-01-2014,Oro Navigacija,ANSP (AUA),108.95,3.90,0.36,2.01,0.42,3.6
2014,1,JAN,03-01-2014,PANSA,ANSP (AUA),805.78,48.62,8.49,25.81,12.24,3.6
2014,1,JAN,03-01-2014,ROMATSA,ANSP (AUA),636.06,53.49,2.62,18.59,5.91,3.6
2014,1,JAN,03-01-2014,SMATSA,ANSP (AUA),351.58,28.55,1.52,14.40,4.31,3.6
2014,1,JAN,03-01-2014,Sakaeronavigatsia,ANSP (AUA),129.54,9.20,0.43,2.50,0.75,3.6
2014,1,JAN,03-01-2014,Skyguide,ANSP (AUA),601.80,94.10,25.18,57.62,21.20,3.6
2014,1,JAN,03-01-2014,Slovenia Control,ANSP (AUA),83.89,9.57,0.93,6.09,2.08,3.6
2014,1,JAN,03-01-2014,UkSATSE,ANSP (AUA),973.81,52.64,2.72,22.23,7.14,3.6
2014,1,JAN,04-01-2014,ANS CR,ANSP (AUA),456.94,66.48,7.40,33.19,17.90,3.6
2014,1,JAN,04-01-2014,ARMATS,ANSP (AUA),41.47,1.42,0.07,0.42,0.22,3.6
2014,1,JAN,04-01-2014,Albcontrol,ANSP (AUA),81.50,5.54,0.20,2.07,0.25,3.6
2014,1,JAN,04-01-2014,Austro Control,ANSP (AUA),518.08,59.59,12.57,34.38,15.59,3.6
2014,1,JAN,04-01-2014,Avinor (Continental),ANSP (AUA),349.83,7.28,1.71,3.38,1.24,3.6
2014,1,JAN,04-01-2014,BULATSA,ANSP (AUA),372.75,34.93,2.70,9.41,3.67,3.6
2014,1,JAN,04-01-2014,Belgocontrol,ANSP (AUA),102.00,7.66,2.66,4.16,3.28,3.6
2014,1,JAN,04-01-2014,Croatia Control,ANSP (AUA),371.60,32.91,1.50,17.51,5.05,3.6
2014,1,JAN,04-01-2014,DCAC Cyprus,ANSP (AUA),289.11,21.84,2.94,9.91,2.04,3.6
2014,1,JAN,04-01-2014,DFS,ANSP (AUA),2184.94,322.68,83.00,186.74,84.43,3.6
2014,1,JAN,04-01-2014,DHMI,ANSP (AUA),2220.51,305.67,42.92,101.74,53.80,3.6
2014,1,JAN,04-01-2014,DSNA,ANSP (AUA),4421.06,751.60,99.52,302.49,96.87,3.6
2014,1,JAN,04-01-2014,EANS,ANSP (AUA),150.02,8.90,1.09,2.92,1.55,3.6
2014,1,JAN,04-01-2014,ENAIRE,ANSP (AUA),2976.12,360.49,39.62,120.86,36.21,3.6
2014,1,JAN,04-01-2014,ENAV,ANSP (AUA),1893.92,139.22,31.94,77.49,20.46,3.6
2014,1,JAN,04-01-2014,Finavia,ANSP (AUA),180.13,3.95,0.70,1.24,0.80,3.6
2014,1,JAN,04-01-2014,HCAA,ANSP (AUA),763.14,37.08,1.65,12.89,2.20,3.6
2014,1,JAN,04-01-2014,HungaroControl,ANSP (AUA),440.74,50.39,2.96,24.37,12.07,3.6
2014,1,JAN,04-01-2014,IAA,ANSP (AUA),436.43,19.25,1.41,5.81,3.43,3.6
2014,1,JAN,04-01-2014,LFV,ANSP (AUA),609.46,26.21,3.09,13.61,4.34,3.6
2014,1,JAN,04-01-2014,LGS,ANSP (AUA),181.29,10.94,0.84,5.34,1.32,3.6
