FLT_DATE	VERTICAL_INTER_HRS
2017-01-01	7.362
2017-01-01	0.6030000000000001
2017-01-01	0.09000000000000001
2017-01-01	0.06300000000000001
2017-01-01	5.598
2017-01-01	3.15
2017-01-01	3.9509999999999996
2017-01-01	1.251
2017-01-01	2.9250000000000003
2017-01-01	50.931000000000004
2017-01-01	55.998
2017-01-01	83.565
2017-01-01	1.08
2017-01-01	28.638
2017-01-01	22.572
2017-01-01	2.214
2017-01-01	2.601
2017-01-01	2.142
2017-01-01	4.104
2017-01-01	0.54
2017-01-01	1.7009999999999998
2017-01-01	2.619
2017-01-01	0.12600000000000003
2017-01-01	0.20700000000000002
2017-01-01	0.0
2017-01-01	42.831
2017-01-01	90.57600000000001
2017-01-01	7.047000000000001
2017-01-01	2.52
2017-01-01	0.27
2017-01-01	5.22
2017-01-01	2.142
2017-01-01	1.494
2017-01-01	0.29700000000000004
2017-01-01	19.62
2017-01-01	0.6120000000000001
2017-01-01	0.225
2017-01-01	2.664
2017-01-02	13.446
2017-01-02	0.936
2017-01-02	0.045000000000000005
2017-01-02	0.07200000000000001
2017-01-02	11.097
2017-01-02	4.356
2017-01-02	3.7800000000000002
2017-01-02	1.6380000000000001
2017-01-02	3.186
2017-01-02	87.93
2017-01-02	75.429
2017-01-02	117.063
2017-01-02	1.215
2017-01-02	38.358
2017-01-02	32.931000000000004
2017-01-02	3.3120000000000003
2017-01-02	4.131
2017-01-02	2.556
2017-01-02	5.859
2017-01-02	0.738
2017-01-02	2.673
2017-01-02	3.744
2017-01-02	0.198
2017-01-02	0.30600000000000005
2017-01-02	0.009000000000000001
2017-01-02	57.257999999999996
2017-01-02	161.11800000000002
2017-01-02	10.026000000000002
2017-01-02	3.51
2017-01-02	0.441
2017-01-02	8.442
2017-01-02	3.4739999999999998
2017-01-02	2.4480000000000004
2017-01-02	0.675
2017-01-02	38.043000000000006
2017-01-02	0.7110000000000001
2017-01-02	0.8280000000000001
2017-01-02	5.8500000000000005
2017-01-03	11.115
2017-01-03	0.9540000000000001
2017-01-03	0.036000000000000004
2017-01-03	0.07200000000000001
2017-01-03	7.757999999999999
2017-01-03	4.806
2017-01-03	3.9149999999999996
2017-01-03	1.26
2017-01-03	2.142
2017-01-03	72.648
2017-01-03	55.863
2017-01-03	102.60900000000001
2017-01-03	0.9
2017-01-03	31.293000000000003
2017-01-03	31.733999999999998
2017-01-03	2.853
2017-01-03	3.006
2017-01-03	1.9800000000000002
2017-01-03	5.481
2017-01-03	0.666
2017-01-03	2.79
2017-01-03	4.635000000000001
2017-01-03	0.333
2017-01-03	0.18000000000000002
2017-01-03	0.018000000000000002
2017-01-03	55.26
2017-01-03	149.535
2017-01-03	8.811
2017-01-03	2.9970000000000003
2017-01-03	0.378
2017-01-03	8.622
2017-01-03	3.285
2017-01-03	2.232
2017-01-03	0.8280000000000001
2017-01-03	25.884
2017-01-03	0.5040000000000001
2017-01-03	0.7110000000000001
2017-01-03	5.454
2017-01-04	9.909
2017-01-04	1.053
2017-01-04	0.07200000000000001
2017-01-04	0.12600000000000003
2017-01-04	7.542000000000001
2017-01-04	3.9509999999999996
2017-01-04	3.6990000000000003
2017-01-04	1.4220000000000002
2017-01-04	2.331
2017-01-04	73.00800000000001
2017-01-04	56.493
2017-01-04	87.23700000000001
2017-01-04	0.909
2017-01-04	32.436
2017-01-04	29.943000000000005
2017-01-04	3.114
2017-01-04	3.861
2017-01-04	2.259
2017-01-04	5.4
2017-01-04	0.747
2017-01-04	2.745
2017-01-04	4.680000000000001
2017-01-04	0.20700000000000002
2017-01-04	0.27
2017-01-04	0.045000000000000005
2017-01-04	54.054
2017-01-04	168.138
2017-01-04	7.911
2017-01-04	2.646
2017-01-04	0.29700000000000004
2017-01-04	7.848000000000001
2017-01-04	4.509
2017-01-04	2.3760000000000003
2017-01-04	0.63
2017-01-04	21.573
2017-01-04	0.936
2017-01-04	0.81
2017-01-04	6.6690000000000005
2017-01-05	10.773000000000001
2017-01-05	0.9810000000000001
2017-01-05	0.06300000000000001
2017-01-05	0.081
2017-01-05	8.1
2017-01-05	4.59
2017-01-05	3.8070000000000004
2017-01-05	1.593
2017-01-05	2.736
2017-01-05	84.411
2017-01-05	63.215999999999994
2017-01-05	90.396
2017-01-05	1.08
2017-01-05	31.473
2017-01-05	29.817000000000004
2017-01-05	3.6270000000000002
2017-01-05	3.4650000000000003
2017-01-05	2.367
2017-01-05	4.95
2017-01-05	0.684
2017-01-05	2.322
2017-01-05	5.373
2017-01-05	0.15300000000000002
2017-01-05	0.234
2017-01-05	0.018000000000000002
2017-01-05	55.386
2017-01-05	132.23700000000002
2017-01-05	7.767000000000001
2017-01-05	2.664
2017-01-05	0.738
2017-01-05	9.423
2017-01-05	4.05
2017-01-05	2.322
2017-01-05	0.468
2017-01-05	20.547
2017-01-05	0.927
2017-01-05	0.873
2017-01-05	6.507000000000001
2017-01-06	10.206
2017-01-06	0.909
2017-01-06	0.081
2017-01-06	0.099
2017-01-06	8.451
2017-01-06	4.572
2017-01-06	3.591
2017-01-06	1.53
2017-01-06	2.133
2017-01-06	84.825
2017-01-06	53.199
2017-01-06	97.281
2017-01-06	0.918
2017-01-06	31.437
