FLT_DATE	HORIZ_INTER_HRS
2017-01-01	31.05
2017-01-01	1.098
2017-01-01	0.189
2017-01-01	1.755
2017-01-01	22.788
2017-01-01	6.165
2017-01-01	20.196
2017-01-01	15.336
2017-01-01	9.702
2017-01-01	143.352
2017-01-01	118.44900000000001
2017-01-01	269.25300000000004
2017-01-01	2.601
2017-01-01	100.584
2017-01-01	55.836
2017-01-01	14.436
2017-01-01	18.315
2017-01-01	8.199
2017-01-01	13.248000000000001
2017-01-01	3.321
2017-01-01	9.107999999999999
2017-01-01	7.389000000000001
2017-01-01	0.423
2017-01-01	1.107
2017-01-01	0.036000000000000004
2017-01-01	109.06200000000001
2017-01-01	121.83300000000001
2017-01-01	27.971999999999998
2017-01-01	9.0
2017-01-01	1.809
2017-01-01	22.905
2017-01-01	22.401
2017-01-01	16.344
2017-01-01	2.8080000000000003
2017-01-01	43.677
2017-01-01	4.77
2017-01-01	1.197
2017-01-01	4.113
2017-01-02	54.108
2017-01-02	1.782
2017-01-02	0.15300000000000002
2017-01-02	1.323
2017-01-02	36.18000000000001
2017-01-02	7.479000000000001
2017-01-02	20.817
2017-01-02	16.686
2017-01-02	8.325000000000001
2017-01-02	230.49000000000004
2017-01-02	127.47599999999998
2017-01-02	343.638
2017-01-02	2.538
2017-01-02	121.608
2017-01-02	77.274
2017-01-02	15.939000000000002
2017-01-02	28.314
2017-01-02	9.279
2017-01-02	18.414
2017-01-02	4.779
2017-01-02	16.218
2017-01-02	11.871
2017-01-02	0.5040000000000001
2017-01-02	1.665
2017-01-02	0.054
2017-01-02	147.87
2017-01-02	203.364
2017-01-02	34.614000000000004
2017-01-02	13.104000000000001
2017-01-02	2.178
2017-01-02	36.837
2017-01-02	25.11
2017-01-02	20.331
2017-01-02	4.689
2017-01-02	71.50500000000001
2017-01-02	4.212
2017-01-02	2.484
2017-01-02	8.874
2017-01-03	43.317
2017-01-03	1.7369999999999999
2017-01-03	0.14400000000000002
2017-01-03	0.9990000000000001
2017-01-03	27.819
2017-01-03	9.018
2017-01-03	22.824
2017-01-03	13.671
2017-01-03	7.056
2017-01-03	187.27200000000002
2017-01-03	116.36099999999999
2017-01-03	318.67199999999997
2017-01-03	2.322
2017-01-03	107.10000000000001
2017-01-03	67.26599999999999
2017-01-03	12.915
2017-01-03	24.128999999999998
2017-01-03	9.621
2017-01-03	16.353
2017-01-03	3.753
2017-01-03	12.087
2017-01-03	11.277
2017-01-03	0.684
2017-01-03	1.368
2017-01-03	0.054
2017-01-03	138.303
2017-01-03	185.661
2017-01-03	34.29
2017-01-03	11.961
2017-01-03	1.512
2017-01-03	32.337
2017-01-03	29.268000000000004
2017-01-03	20.421000000000003
2017-01-03	4.644
2017-01-03	51.993
2017-01-03	4.248
2017-01-03	2.493
2017-01-03	8.451
2017-01-04	44.091
2017-01-04	1.9080000000000001
2017-01-04	0.18000000000000002
2017-01-04	1.116
2017-01-04	29.151
2017-01-04	7.128
2017-01-04	20.736
2017-01-04	17.145
2017-01-04	7.812
2017-01-04	193.725
2017-01-04	114.25500000000001
2017-01-04	270.72
2017-01-04	2.394
2017-01-04	101.55600000000001
2017-01-04	68.922
2017-01-04	14.895000000000001
2017-01-04	27.873
2017-01-04	8.172
2017-01-04	16.398
2017-01-04	3.411
2017-01-04	12.870000000000001
2017-01-04	11.916
2017-01-04	0.5670000000000001
2017-01-04	1.26
2017-01-04	0.06300000000000001
2017-01-04	128.511
2017-01-04	201.348
2017-01-04	27.720000000000002
2017-01-04	9.999
2017-01-04	1.953
2017-01-04	29.709
2017-01-04	29.7
2017-01-04	19.764000000000003
2017-01-04	4.032000000000001
2017-01-04	47.07
2017-01-04	5.382000000000001
2017-01-04	2.457
2017-01-04	9.918
2017-01-05	44.172
2017-01-05	1.935
2017-01-05	0.135
2017-01-05	1.62
2017-01-05	29.061
2017-01-05	7.460999999999999
2017-01-05	23.454
2017-01-05	15.768
2017-01-05	10.44
2017-01-05	203.33700000000002
2017-01-05	130.77
2017-01-05	277.767
2017-01-05	2.2769999999999997
2017-01-05	101.82600000000001
2017-01-05	66.447
2017-01-05	19.512
2017-01-05	25.092
2017-01-05	10.962
2017-01-05	15.624
2017-01-05	3.717
2017-01-05	9.981
2017-01-05	14.076
2017-01-05	0.405
2017-01-05	1.395
2017-01-05	0.036000000000000004
2017-01-05	139.26600000000002
2017-01-05	170.19
2017-01-05	29.241000000000003
2017-01-05	11.655
2017-01-05	2.232
2017-01-05	31.058999999999997
2017-01-05	28.791
2017-01-05	20.592
2017-01-05	3.654
2017-01-05	42.579
