FLT_DATE,YEAR,MONTH_NUM,MONTH_MON,ENTITY_NAME,ENTITY_TYPE,CPLX_FLIGHT_HRS,CPLX_INTER,VERTICAL_INTER_HRS,HORIZ_INTER_HRS,SPEED_INTER_HRS,BADA_VERSION
2017-01-02,2017.0,1.0,JAN,DHMI,ANSP (AUA),2841.2,496.86,83.81,141.64,41.724000000000004,3.13.1
2017-01-02,2017.0,1.0,JAN,DSNA,ANSP (AUA),5047.3,834.17,130.07,381.82,66.159,3.13.1
2017-01-02,2017.0,1.0,JAN,EANS,ANSP (AUA),167.6,7.86,1.35,2.82,0.855,3.13.1
2017-01-02,2017.0,1.0,JAN,ENAIRE,ANSP (AUA),3046.52,351.87,42.62,135.12,14.301,3.13.1
2017-01-02,2017.0,1.0,JAN,ENAV,ANSP (AUA),2023.44,137.34,36.59,85.86,12.870000000000001,3.13.1
2017-01-02,2017.0,1.0,JAN,HCAA,ANSP (AUA),862.24,39.95,3.68,17.71,2.565,3.13.1
2017-01-02,2017.0,1.0,JAN,HungaroControl,ANSP (AUA),525.51,62.18,4.59,31.46,6.210000000000001,3.13.1
2017-01-02,2017.0,1.0,JAN,IAA,ANSP (AUA),568.04,33.71,2.84,10.31,2.097,3.13.1
2017-01-02,2017.0,1.0,JAN,LFV,ANSP (AUA),879.94,36.5,6.51,20.46,4.05,3.13.1
2017-01-02,2017.0,1.0,JAN,LGS,ANSP (AUA),194.28,10.27,0.82,5.31,0.909,3.13.1
2017-01-02,2017.0,1.0,JAN,LPS,ANSP (AUA),236.23,34.05,2.97,18.02,3.69,3.13.1
2017-01-02,2017.0,1.0,JAN,LVNL,ANSP (AUA),191.54,32.23,4.16,13.19,3.159,3.13.1
2017-01-02,2017.0,1.0,JAN,M-NAV,ANSP (AUA),41.32,1.27,0.22,0.56,0.036000000000000004,3.13.1
2017-01-02,2017.0,1.0,JAN,MATS,ANSP (AUA),170.59,4.81,0.34,1.85,0.261,3.13.1
2017-01-02,2017.0,1.0,JAN,MOLDATSA,ANSP (AUA),13.47,0.1,0.01,0.06,0.009000000000000001,3.13.1
