FLT_DATE	SPEED_INTER_HRS
2017-01-01	6.795
2017-01-01	0.27
2017-01-01	0.06300000000000001
2017-01-01	0.135
2017-01-01	4.716
2017-01-01	2.169
2017-01-01	3.015
2017-01-01	0.8280000000000001
2017-01-01	0.8370000000000001
2017-01-01	29.205000000000002
2017-01-01	25.038
2017-01-01	32.436
2017-01-01	0.531
2017-01-01	8.136
2017-01-01	7.74
2017-01-01	1.4040000000000001
2017-01-01	4.41
2017-01-01	1.494
2017-01-01	2.3040000000000003
2017-01-01	0.459
2017-01-01	2.0160000000000005
2017-01-01	1.548
2017-01-01	0.018000000000000002
2017-01-01	0.20700000000000002
2017-01-01	0.0
2017-01-01	17.046000000000003
2017-01-01	28.917
2017-01-01	1.341
2017-01-01	1.044
2017-01-01	0.279
2017-01-01	5.013000000000001
2017-01-01	5.598
2017-01-01	1.314
2017-01-01	0.36000000000000004
2017-01-01	9.549
2017-01-01	0.261
2017-01-01	0.162
2017-01-01	1.593
2017-01-02	11.394
2017-01-02	0.756
2017-01-02	0.054
2017-01-02	0.108
2017-01-02	9.225
2017-01-02	3.15
2017-01-02	3.024
2017-01-02	1.503
2017-01-02	1.107
2017-01-02	51.876000000000005
2017-01-02	41.724000000000004
2017-01-02	66.159
2017-01-02	0.855
2017-01-02	14.301
2017-01-02	12.870000000000001
2017-01-02	2.565
2017-01-02	6.210000000000001
2017-01-02	2.097
2017-01-02	4.05
2017-01-02	0.909
2017-01-02	3.69
2017-01-02	3.159
2017-01-02	0.036000000000000004
2017-01-02	0.261
2017-01-02	0.009000000000000001
2017-01-02	24.128999999999998
2017-01-02	59.643
2017-01-02	2.295
2017-01-02	2.1870000000000003
2017-01-02	0.36000000000000004
2017-01-02	7.164
2017-01-02	7.047000000000001
2017-01-02	1.971
2017-01-02	0.333
2017-01-02	20.790000000000003
2017-01-02	0.333
2017-01-02	0.5760000000000001
2017-01-02	3.789
2017-01-03	9.081
2017-01-03	0.774
2017-01-03	0.009000000000000001
2017-01-03	0.027
2017-01-03	6.3
2017-01-03	3.7350000000000003
2017-01-03	3.177
2017-01-03	1.296
2017-01-03	0.648
2017-01-03	45.818999999999996
2017-01-03	46.476
2017-01-03	65.898
2017-01-03	0.531
2017-01-03	10.683
2017-01-03	11.979000000000001
2017-01-03	2.232
2017-01-03	5.166
2017-01-03	1.6740000000000002
2017-01-03	3.9240000000000004
2017-01-03	0.7110000000000001
2017-01-03	2.7
2017-01-03	3.411
2017-01-03	0.099
2017-01-03	0.07200000000000001
2017-01-03	0.018000000000000002
2017-01-03	23.886
2017-01-03	63.108000000000004
2017-01-03	1.4849999999999999
2017-01-03	2.1870000000000003
2017-01-03	0.396
2017-01-03	6.795
2017-01-03	6.192
2017-01-03	1.818
2017-01-03	0.684
2017-01-03	15.966
2017-01-03	0.6930000000000001
2017-01-03	0.49500000000000005
2017-01-03	4.122
2017-01-04	8.595
2017-01-04	0.7110000000000001
2017-01-04	0.009000000000000001
2017-01-04	0.07200000000000001
2017-01-04	6.516
2017-01-04	3.591
2017-01-04	2.529
2017-01-04	1.7369999999999999
2017-01-04	0.936
2017-01-04	41.832
2017-01-04	26.001
