YEAR;MONTH_NUM;MONTH_MON;FLT_DATE;ENTITY_NAME;ENTITY_TYPE;CPLX_FLIGHT_HRS;CPLX_INTER;VERTICAL_INTER_HRS;HORIZ_INTER_HRS;SPEED_INTER_HRS;BADA_VERSION
2017;1;JAN;02-01-2017;HCAA;ANSP (AUA);862.24;39.95;3.68;17.71;2.85;3.13.1
2017;1;JAN;02-01-2017;HungaroControl;ANSP (AUA);525.51;62.18;4.59;31.46;6.90;3.13.1
2017;1;JAN;02-01-2017;IAA;ANSP (AUA);568.04;33.71;2.84;10.31;2.33;3.13.1
2017;1;JAN;02-01-2017;LFV;ANSP (AUA);879.94;36.50;6.51;20.46;4.50;3.13.1
2017;1;JAN;02-01-2017;LGS;ANSP (AUA);194.28;10.27;0.82;5.31;1.01;3.13.1
2017;1;JAN;02-01-2017;LPS;ANSP (AUA);236.23;34.05;2.97;18.02;4.10;3.13.1
2017;1;JAN;02-01-2017;LVNL;ANSP (AUA);191.54;32.23;4.16;13.19;3.51;3.13.1
2017;1;JAN;02-01-2017;M-NAV;ANSP (AUA);41.32;1.27;0.22;0.56;0.04;3.13.1
2017;1;JAN;02-01-2017;MATS;ANSP (AUA);170.59;4.81;0.34;1.85;0.29;3.13.1
2017;1;JAN;02-01-2017;MOLDATSA;ANSP (AUA);13.47;0.10;0.01;0.06;0.01;3.13.1
2017;1;JAN;02-01-2017;MUAC;ANSP (AUA);1625.28;280.84;63.62;164.30;26.81;3.13.1
2017;1;JAN;02-01-2017;NATS (Continental);ANSP (AUA);2766.64;475.68;179.02;225.96;66.27;3.13.1
2017;1;JAN;02-01-2017;NAV Portugal (Continental);ANSP (AUA);1078.72;97.53;11.14;38.46;2.55;3.13.1
2017;1;JAN;02-01-2017;NAVIAIR;ANSP (AUA);430.47;25.65;3.90;14.56;2.43;3.13.1
2017;1;JAN;02-01-2017;Oro Navigacija;ANSP (AUA);127.04;4.83;0.49;2.42;0.40;3.13.1
2017;1;JAN;02-01-2017;PANSA;ANSP (AUA);1020.42;71.30;9.38;40.93;7.96;3.13.1
2017;1;JAN;02-01-2017;ROMATSA;ANSP (AUA);731.62;72.91;3.86;27.90;7.83;3.13.1
2017;1;JAN;02-01-2017;SMATSA;ANSP (AUA);444.70;42.69;2.72;22.59;2.19;3.13.1
2017;1;JAN;02-01-2017;Sakaeronavigatsia;ANSP (AUA);126.60;15.46;0.75;5.21;0.37;3.13.1
2017;1;JAN;02-01-2017;Skyguide;ANSP (AUA);717.98;125.24;42.27;79.45;23.10;3.13.1
2017;1;JAN;02-01-2017;Slovenia Control;ANSP (AUA);85.80;6.93;0.79;4.68;0.37;3.13.1
2017;1;JAN;02-01-2017;UkSATSE;ANSP (AUA);295.49;7.29;0.92;2.76;0.64;3.13.1
2017;1;JAN;02-01-2017;skeyes;ANSP (AUA);157.61;17.34;6.50;9.86;4.21;3.13.1
2017;1;JAN;03-01-2017;ANS CR;ANSP (AUA);555.12;93.43;12.35;48.13;10.09;3.13.1
2017;1;JAN;03-01-2017;ANS Finland;ANSP (AUA);188.94;4.79;1.06;1.93;0.86;3.13.1
2017;1;JAN;03-01-2017;ARMATS;ANSP (AUA);25.51;0.53;0.04;0.16;0.01;3.13.1
2017;1;JAN;03-01-2017;Albcontrol;ANSP (AUA);58.53;2.75;0.08;1.11;0.03;3.13.1
2017;1;JAN;03-01-2017;Austro Control;ANSP (AUA);511.56;51.63;8.62;30.91;7.00;3.13.1
2017;1;JAN;03-01-2017;Avinor (Continental);ANSP (AUA);625.10;21.73;5.34;10.02;4.15;3.13.1
2017;1;JAN;03-01-2017;BULATSA;ANSP (AUA);541.62;71.23;4.35;25.36;3.53;3.13.1
2017;1;JAN;03-01-2017;Croatia Control;ANSP (AUA);337.30;23.89;1.40;15.19;1.44;3.13.1
2017;1;JAN;03-01-2017;DCAC Cyprus;ANSP (AUA);335.57;22.35;2.38;7.84;0.72;3.13.1
2017;1;JAN;03-01-2017;DFS;ANSP (AUA);2489.96;347.17;80.72;208.08;50.91;3.13.1
2017;1;JAN;03-01-2017;DHMI;ANSP (AUA);2792.02;540.83;62.07;129.29;51.64;3.13.1
2017;1;JAN;03-01-2017;DSNA;ANSP (AUA);4665.58;778.09;114.01;354.08;73.22;3.13.1
2017;1;JAN;03-01-2017;EANS;ANSP (AUA);150.13;6.80;1.00;2.58;0.59;3.13.1
2017;1;JAN;03-01-2017;ENAIRE;ANSP (AUA);2782.62;313.74;34.77;119.00;11.87;3.13.1
2017;1;JAN;03-01-2017;ENAV;ANSP (AUA);1829.32;117.96;35.26;74.74;13.31;3.13.1
2017;1;JAN;03-01-2017;HCAA;ANSP (AUA);783.77;33.79;3.17;14.35;2.48;3.13.1
2017;1;JAN;03-01-2017;HungaroControl;ANSP (AUA);500.18;55.87;3.34;26.81;5.74;3.13.1
2017;1;JAN;03-01-2017;IAA;ANSP (AUA);570.28;35.80;2.20;10.69;1.86;3.13.1
2017;1;JAN;03-01-2017;LFV;ANSP (AUA);819.98;33.93;6.09;18.17;4.36;3.13.1
2017;1;JAN;03-01-2017;LGS;ANSP (AUA);169.47;7.59;0.74;4.17;0.79;3.13.1
2017;1;JAN;03-01-2017;LPS;ANSP (AUA);217.75;27.65;3.10;13.43;3.00;3.13.1
2017;1;JAN;03-01-2017;LVNL;ANSP (AUA);186.09;29.75;5.15;12.53;3.79;3.13.1
