MONTH_NUM,MONTH_MON,FLT_DATE,ENTITY_NAME,ENTITY_TYPE,CPLX_FLIGHT_HRS,CPLX_INTER,VERTICAL_INTER_HRS,HORIZ_INTER_HRS,SPEED_INTER_HRS,BADA_VERSION
1.0,JAN,02-01-2017,ENAV,ANSP (AUA),2023.44,137.34,32.931000000000004,85.86,14.3,3.13.1
1.0,JAN,02-01-2017,HCAA,ANSP (AUA),862.24,39.95,3.3120000000000003,17.71,2.85,3.13.1
1.0,JAN,02-01-2017,HungaroControl,ANSP (AUA),525.51,62.18,4.131,31.46,6.9,3.13.1
1.0,JAN,02-01-2017,IAA,ANSP (AUA),568.04,33.71,2.556,10.31,2.33,3.13.1
1.0,JAN,02-01-2017,LFV,ANSP (AUA),879.94,36.5,5.859,20.46,4.5,3.13.1
1.0,JAN,02-01-2017,LGS,ANSP (AUA),194.28,10.27,0.738,5.31,1.01,3.13.1
1.0,JAN,02-01-2017,LPS,ANSP (AUA),236.23,34.05,2.673,18.02,4.1,3.13.1
1.0,JAN,02-01-2017,LVNL,ANSP (AUA),191.54,32.23,3.744,13.19,3.51,3.13.1
1.0,JAN,02-01-2017,M-NAV,ANSP (AUA),41.32,1.27,0.198,0.56,0.04,3.13.1
1.0,JAN,02-01-2017,MATS,ANSP (AUA),170.59,4.81,0.30600000000000005,1.85,0.29,3.13.1
1.0,JAN,02-01-2017,MOLDATSA,ANSP (AUA),13.47,0.1,0.009000000000000001,0.06,0.01,3.13.1
1.0,JAN,02-01-2017,MUAC,ANSP (AUA),1625.28,280.84,57.257999999999996,164.3,26.81,3.13.1
1.0,JAN,02-01-2017,NATS (Continental),ANSP (AUA),2766.64,475.68,161.11800000000002,225.96,66.27,3.13.1
1.0,JAN,02-01-2017,NAV Portugal (Continental),ANSP (AUA),1078.72,97.53,10.026000000000002,38.46,2.55,3.13.1
1.0,JAN,02-01-2017,NAVIAIR,ANSP (AUA),430.47,25.65,3.51,14.56,2.43,3.13.1
1.0,JAN,02-01-2017,Oro Navigacija,ANSP (AUA),127.04,4.83,0.441,2.42,0.4,3.13.1
1.0,JAN,02-01-2017,PANSA,ANSP (AUA),1020.42,71.3,8.442,40.93,7.96,3.13.1
1.0,JAN,02-01-2017,ROMATSA,ANSP (AUA),731.62,72.91,3.4739999999999998,27.9,7.83,3.13.1
1.0,JAN,02-01-2017,SMATSA,ANSP (AUA),444.7,42.69,2.4480000000000004,22.59,2.19,3.13.1
1.0,JAN,02-01-2017,Sakaeronavigatsia,ANSP (AUA),126.6,15.46,0.675,5.21,0.37,3.13.1
1.0,JAN,02-01-2017,Skyguide,ANSP (AUA),717.98,125.24,38.043000000000006,79.45,23.1,3.13.1
1.0,JAN,02-01-2017,Slovenia Control,ANSP (AUA),85.8,6.93,0.7110000000000001,4.68,0.37,3.13.1
1.0,JAN,02-01-2017,UkSATSE,ANSP (AUA),295.49,7.29,0.8280000000000001,2.76,0.64,3.13.1
1.0,JAN,02-01-2017,skeyes,ANSP (AUA),157.61,17.34,5.8500000000000005,9.86,4.21,3.13.1
1.0,JAN,03-01-2017,ANS CR,ANSP (AUA),555.12,93.43,11.115,48.13,10.09,3.13.1
1.0,JAN,03-01-2017,ANS Finland,ANSP (AUA),188.94,4.79,0.9540000000000001,1.93,0.86,3.13.1
1.0,JAN,03-01-2017,ARMATS,ANSP (AUA),25.51,0.53,0.036000000000000004,0.16,0.01,3.13.1
1.0,JAN,03-01-2017,Albcontrol,ANSP (AUA),58.53,2.75,0.07200000000000001,1.11,0.03,3.13.1
1.0,JAN,03-01-2017,Austro Control,ANSP (AUA),511.56,51.63,7.757999999999999,30.91,7.0,3.13.1
1.0,JAN,03-01-2017,Avinor (Continental),ANSP (AUA),625.1,21.73,4.806,10.02,4.15,3.13.1
1.0,JAN,03-01-2017,BULATSA,ANSP (AUA),541.62,71.23,3.9149999999999996,25.36,3.53,3.13.1
1.0,JAN,03-01-2017,Croatia Control,ANSP (AUA),337.3,23.89,1.26,15.19,1.44,3.13.1
1.0,JAN,03-01-2017,DCAC Cyprus,ANSP (AUA),335.57,22.35,2.142,7.84,0.72,3.13.1
1.0,JAN,03-01-2017,DFS,ANSP (AUA),2489.96,347.17,72.648,208.08,50.91,3.13.1
1.0,JAN,03-01-2017,DHMI,ANSP (AUA),2792.02,540.83,55.863,129.29,51.64,3.13.1
1.0,JAN,03-01-2017,DSNA,ANSP (AUA),4665.58,778.09,102.60900000000001,354.08,73.22,3.13.1
1.0,JAN,03-01-2017,EANS,ANSP (AUA),150.13,6.8,0.9,2.58,0.59,3.13.1
1.0,JAN,03-01-2017,ENAIRE,ANSP (AUA),2782.62,313.74,31.293000000000003,119.0,11.87,3.13.1
1.0,JAN,03-01-2017,ENAV,ANSP (AUA),1829.32,117.96,31.733999999999998,74.74,13.31,3.13.1
1.0,JAN,03-01-2017,HCAA,ANSP (AUA),783.77,33.79,2.853,14.35,2.48,3.13.1
1.0,JAN,03-01-2017,HungaroControl,ANSP (AUA),500.18,55.87,3.006,26.81,5.74,3.13.1
1.0,JAN,03-01-2017,IAA,ANSP (AUA),570.28,35.8,1.9800000000000002,10.69,1.86,3.13.1
1.0,JAN,03-01-2017,LFV,ANSP (AUA),819.98,33.93,5.481,18.17,4.36,3.13.1
1.0,JAN,03-01-2017,LGS,ANSP (AUA),169.47,7.59,0.666,4.17,0.79,3.13.1
1.0,JAN,03-01-2017,LPS,ANSP (AUA),217.75,27.65,2.79,13.43,3.0,3.13.1
1.0,JAN,03-01-2017,LVNL,ANSP (AUA),186.09,29.75,4.635000000000001,12.53,3.79,3.13.1
1.0,JAN,03-01-2017,M-NAV,ANSP (AUA),46.82,1.45,0.333,0.76,0.11,3.13.1
1.0,JAN,03-01-2017,MATS,ANSP (AUA),169.0,3.52,0.18000000000000002,1.52,0.08,3.13.1
1.0,JAN,03-01-2017,MOLDATSA,ANSP (AUA),15.57,0.13,0.018000000000000002,0.06,0.02,3.13.1
1.0,JAN,03-01-2017,MUAC,ANSP (AUA),1545.85,269.21,55.26,153.67,26.54,3.13.1
1.0,JAN,03-01-2017,NATS (Continental),ANSP (AUA),2796.91,465.86,149.535,206.29,70.12,3.13.1
1.0,JAN,03-01-2017,NAV Portugal (Continental),ANSP (AUA),1024.65,96.39,8.811,38.1,1.65,3.13.1
1.0,JAN,03-01-2017,NAVIAIR,ANSP (AUA),412.39,22.86,2.9970000000000003,13.29,2.43,3.13.1
1.0,JAN,03-01-2017,Oro Navigacija,ANSP (AUA),111.56,3.73,0.378,1.68,0.44,3.13.1
1.0,JAN,03-01-2017,PANSA,ANSP (AUA),920.62,61.04,8.622,35.93,7.55,3.13.1
1.0,JAN,03-01-2017,ROMATSA,ANSP (AUA),773.18,81.51,3.285,32.52,6.88,3.13.1
1.0,JAN,03-01-2017,SMATSA,ANSP (AUA),430.09,40.01,2.232,22.69,2.02,3.13.1
1.0,JAN,03-01-2017,Sakaeronavigatsia,ANSP (AUA),119.5,16.14,0.8280000000000001,5.16,0.76,3.13.1
1.0,JAN,03-01-2017,Skyguide,ANSP (AUA),603.07,92.61,25.884,57.77,17.74,3.13.1
1.0,JAN,03-01-2017,Slovenia Control,ANSP (AUA),83.4,7.36,0.5040000000000001,4.72,0.77,3.13.1
1.0,JAN,03-01-2017,UkSATSE,ANSP (AUA),294.3,7.32,0.7110000000000001,2.77,0.55,3.13.1
1.0,JAN,03-01-2017,skeyes,ANSP (AUA),155.54,17.01,5.454,9.39,4.58,3.13.1
1.0,JAN,04-01-2017,ANS CR,ANSP (AUA),539.34,100.08,9.909,48.99,9.55,3.13.1
1.0,JAN,04-01-2017,ANS Finland,ANSP (AUA),212.46,5.41,1.053,2.12,0.79,3.13.1
1.0,JAN,04-01-2017,ARMATS,ANSP (AUA),24.61,0.53,0.07200000000000001,0.2,0.01,3.13.1
1.0,JAN,04-01-2017,Albcontrol,ANSP (AUA),60.76,2.73,0.12600000000000003,1.24,0.08,3.13.1
1.0,JAN,04-01-2017,Austro Control,ANSP (AUA),525.89,52.89,7.542000000000001,32.39,7.24,3.13.1
1.0,JAN,04-01-2017,Avinor (Continental),ANSP (AUA),615.66,18.62,3.9509999999999996,7.92,3.99,3.13.1
1.0,JAN,04-01-2017,BULATSA,ANSP (AUA),537.66,64.76,3.6990000000000003,23.04,2.81,3.13.1
1.0,JAN,04-01-2017,Croatia Control,ANSP (AUA),362.05,29.09,1.4220000000000002,19.05,1.93,3.13.1
1.0,JAN,04-01-2017,DCAC Cyprus,ANSP (AUA),342.76,19.38,2.331,8.68,1.04,3.13.1
1.0,JAN,04-01-2017,DFS,ANSP (AUA),2515.4,356.99,73.00800000000001,215.25,46.48,3.13.1
1.0,JAN,04-01-2017,DHMI,ANSP (AUA),2835.26,459.69,56.493,126.95,28.89,3.13.1
1.0,JAN,04-01-2017,DSNA,ANSP (AUA),4429.06,665.11,87.23700000000001,300.8,56.47,3.13.1
1.0,JAN,04-01-2017,EANS,ANSP (AUA),151.48,6.62,0.909,2.66,0.66,3.13.1
1.0,JAN,04-01-2017,ENAIRE,ANSP (AUA),2711.89,311.07,32.436,112.84,14.0,3.13.1
1.0,JAN,04-01-2017,ENAV,ANSP (AUA),1822.63,119.19,29.943000000000005,76.58,13.35,3.13.1
1.0,JAN,04-01-2017,HCAA,ANSP (AUA),807.84,36.83,3.114,16.55,2.44,3.13.1
1.0,JAN,04-01-2017,HungaroControl,ANSP (AUA),524.76,61.78,3.861,30.97,6.21,3.13.1
1.0,JAN,04-01-2017,IAA,ANSP (AUA),562.85,31.21,2.259,9.08,1.94,3.13.1
1.0,JAN,04-01-2017,LFV,ANSP (AUA),808.17,32.07,5.4,18.22,4.57,3.13.1
1.0,JAN,04-01-2017,LGS,ANSP (AUA),159.59,7.48,0.747,3.79,0.67,3.13.1
1.0,JAN,04-01-2017,LPS,ANSP (AUA),211.6,31.43,2.745,14.3,3.28,3.13.1
1.0,JAN,04-01-2017,LVNL,ANSP (AUA),193.91,30.71,4.680000000000001,13.24,3.94,3.13.1
1.0,JAN,04-01-2017,M-NAV,ANSP (AUA),39.61,1.47,0.20700000000000002,0.63,0.04,3.13.1
1.0,JAN,04-01-2017,MATS,ANSP (AUA),162.62,4.43,0.27,1.4,0.42,3.13.1
1.0,JAN,04-01-2017,MOLDATSA,ANSP (AUA),15.1,0.11,0.045000000000000005,0.07,0.02,3.13.1
1.0,JAN,04-01-2017,MUAC,ANSP (AUA),1531.15,260.37,54.054,142.79,25.44,3.13.1
1.0,JAN,04-01-2017,NATS (Continental),ANSP (AUA),2699.34,477.28,168.138,223.72,71.95,3.13.1
1.0,JAN,04-01-2017,NAV Portugal (Continental),ANSP (AUA),918.15,90.21,7.911,30.8,1.79,3.13.1
1.0,JAN,04-01-2017,NAVIAIR,ANSP (AUA),393.51,19.81,2.646,11.11,2.23,3.13.1
1.0,JAN,04-01-2017,Oro Navigacija,ANSP (AUA),106.11,4.79,0.29700000000000004,2.17,0.51,3.13.1
1.0,JAN,04-01-2017,PANSA,ANSP (AUA),917.96,57.46,7.848000000000001,33.01,8.12,3.13.1
1.0,JAN,04-01-2017,ROMATSA,ANSP (AUA),777.8,80.26,4.509,33.0,7.33,3.13.1
1.0,JAN,04-01-2017,SMATSA,ANSP (AUA),445.45,40.04,2.3760000000000003,21.96,1.68,3.13.1
1.0,JAN,04-01-2017,Sakaeronavigatsia,ANSP (AUA),111.72,12.04,0.63,4.48,0.44,3.13.1
1.0,JAN,04-01-2017,Skyguide,ANSP (AUA),573.4,83.62,21.573,52.3,13.69,3.13.1
1.0,JAN,04-01-2017,Slovenia Control,ANSP (AUA),89.97,9.03,0.936,5.98,0.62,3.13.1
1.0,JAN,04-01-2017,UkSATSE,ANSP (AUA),280.09,6.69,0.81,2.73,0.51,3.13.1
1.0,JAN,04-01-2017,skeyes,ANSP (AUA),166.91,19.34,6.6690000000000005,11.02,5.68,3.13.1
1.0,JAN,05-01-2017,ANS CR,ANSP (AUA),554.1,96.63,10.773000000000001,49.08,9.38,3.13.1
1.0,JAN,05-01-2017,ANS Finland,ANSP (AUA),198.07,5.7,0.9810000000000001,2.15,0.81,3.13.1
1.0,JAN,05-01-2017,ARMATS,ANSP (AUA),27.76,0.61,0.06300000000000001,0.15,0.05,3.13.1
1.0,JAN,05-01-2017,Albcontrol,ANSP (AUA),67.63,4.17,0.081,1.8,0.04,3.13.1
1.0,JAN,05-01-2017,Austro Control,ANSP (AUA),542.31,54.57,8.1,32.29,8.08,3.13.1
1.0,JAN,05-01-2017,Avinor (Continental),ANSP (AUA),617.66,19.11,4.59,8.29,3.99,3.13.1
1.0,JAN,05-01-2017,BULATSA,ANSP (AUA),548.51,72.98,3.8070000000000004,26.06,3.28,3.13.1
1.0,JAN,05-01-2017,Croatia Control,ANSP (AUA),365.22,28.34,1.593,17.52,1.67,3.13.1
1.0,JAN,05-01-2017,DCAC Cyprus,ANSP (AUA),372.61,27.96,2.736,11.6,1.14,3.13.1
1.0,JAN,05-01-2017,DFS,ANSP (AUA),2601.74,376.32,84.411,225.93,55.28,3.13.1
1.0,JAN,05-01-2017,DHMI,ANSP (AUA),2932.54,526.59,63.215999999999994,145.3,57.83,3.13.1
1.0,JAN,05-01-2017,DSNA,ANSP (AUA),4461.81,678.31,90.396,308.63,56.26,3.13.1
1.0,JAN,05-01-2017,EANS,ANSP (AUA),156.25,8.02,1.08,2.53,0.68,3.13.1
1.0,JAN,05-01-2017,ENAIRE,ANSP (AUA),2691.99,303.04,31.473,113.14,10.12,3.13.1
1.0,JAN,05-01-2017,ENAV,ANSP (AUA),1816.34,115.48,29.817000000000004,73.83,12.05,3.13.1
1.0,JAN,05-01-2017,HCAA,ANSP (AUA),926.78,51.96,3.6270000000000002,21.68,2.49,3.13.1
1.0,JAN,05-01-2017,HungaroControl,ANSP (AUA),511.71,57.19,3.4650000000000003,27.88,6.11,3.13.1
1.0,JAN,05-01-2017,IAA,ANSP (AUA),652.32,35.78,2.367,12.18,2.19,3.13.1
1.0,JAN,05-01-2017,LFV,ANSP (AUA),794.18,32.04,4.95,17.36,3.51,3.13.1
1.0,JAN,05-01-2017,LGS,ANSP (AUA),163.02,8.04,0.684,4.13,0.75,3.13.1
1.0,JAN,05-01-2017,LPS,ANSP (AUA),209.74,26.2,2.322,11.09,2.72,3.13.1
1.0,JAN,05-01-2017,LVNL,ANSP (AUA),196.11,34.16,5.373,15.64,3.91,3.13.1
1.0,JAN,05-01-2017,M-NAV,ANSP (AUA),38.13,0.91,0.15300000000000002,0.45,0.02,3.13.1
1.0,JAN,05-01-2017,MATS,ANSP (AUA),172.94,4.66,0.234,1.55,0.2,3.13.1
1.0,JAN,05-01-2017,MOLDATSA,ANSP (AUA),14.1,0.09,0.018000000000000002,0.04,0.02,3.13.1
1.0,JAN,05-01-2017,MUAC,ANSP (AUA),1579.9,276.7,55.386,154.74,27.24,3.13.1
1.0,JAN,05-01-2017,NATS (Continental),ANSP (AUA),2765.07,411.43,132.23700000000002,189.1,69.87,3.13.1
1.0,JAN,05-01-2017,NAV Portugal (Continental),ANSP (AUA),902.98,81.28,7.767000000000001,32.49,2.13,3.13.1
1.0,JAN,05-01-2017,NAVIAIR,ANSP (AUA),395.94,21.54,2.664,12.95,2.28,3.13.1
1.0,JAN,05-01-2017,Oro Navigacija,ANSP (AUA),125.83,5.38,0.738,2.48,0.52,3.13.1
1.0,JAN,05-01-2017,PANSA,ANSP (AUA),949.08,57.54,9.423,34.51,8.14,3.13.1
1.0,JAN,05-01-2017,ROMATSA,ANSP (AUA),760.02,80.27,4.05,31.99,6.86,3.13.1
1.0,JAN,05-01-2017,SMATSA,ANSP (AUA),443.4,43.8,2.322,22.88,2.47,3.13.1
1.0,JAN,05-01-2017,Sakaeronavigatsia,ANSP (AUA),123.22,11.72,0.468,4.06,0.56,3.13.1
